"","TeamName","PositionText","PlayedPositionsRaw","Height","Weight","FirstName","LastName","DateOfBirth","Ranking","PositionShort","PositionLong","Name","Age","GameStarted","SubOn","SubOff","Yellow","SecondYellow","Red","Goals","Assists","TotalPasses","AccuratePasses","AerialWon","AerialLost","TotalTackles","Interceptions","Fouls","OffsidesWon","TotalClearances","WasDribbled","TotalShots","ShotsOnTarget","ShotsBlocked","OwnGoals","KeyPasses","Dribbles","WasFouled","Offsides","Dispossesed","Turnovers","TotalCrosses","AccurateCrosses","TotalLongBalls","AccurateLongBalls","TotalThroughBalls","AccurateThroughBalls"
"290","England","Delantero","-FW-",188,77,"Rickie","Lambert",1982-02-15 19:00:00,14,"FW","Forward","Rickie Lambert",32,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"291","England","Arquero","-GK-",196,91,"Joe","Hart",1987-04-18 19:00:00,15,"GK","Goalkeeper","Joe Hart",27,1,0,0,0,0,0,0,0,17,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0
"252","Croatia","Mediocampo","-DMC-",183,76,"Ognjen","Vukojevic",1983-12-19 19:00:00,22,"DM(C)","Defensive Midfielder (Center)","Ognjen Vukojevic",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"465","Ivory Coast","Defensa","-DL-DMC-ML-",166,67,"Arthur","Boka",1983-04-01 18:00:00,5,"D(L),DM(C),M(L)","Defender (Left) / Defensive Midfielder (Center) / Midfielder (Left)","Arthur Boka",31,1,0,0,0,0,0,0,1,25,20,1,1,2,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,5,1,6,1,0,0
"148","Cameroon","Delantero","-FW-",181,78,"Pierre","Webó",1982-01-19 19:00:00,10,"FW","Forward","Pierre Webó",32,0,1,0,0,0,0,0,0,6,5,2,3,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"647","Spain","Mediocampo","-AMC-AML-AMR-",170,65,"Andrés","Iniesta",1984-05-10 19:00:00,3,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Andrés Iniesta",30,1,0,0,0,0,0,0,0,51,43,0,0,1,0,2,0,0,0,1,1,0,0,3,3,4,0,1,1,3,2,0,0,1,0
"689","Switzerland","Mediocampo","-AMC-AML-AMR-",178,68,"Tranquillo","Barnetta",1985-05-21 19:00:00,22,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Tranquillo Barnetta",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"646","Spain","Defensa","-DC-DR-",183,75,"Sergio","Ramos",1986-03-29 19:00:00,2,"D(CR)","Defender (Center, Right)","Sergio Ramos",28,1,0,0,0,0,0,0,0,69,55,6,3,5,3,2,2,5,1,4,2,0,0,0,0,2,0,0,1,0,0,12,7,0,0
"472","Ivory Coast","Arquero",NA,180,70,"Boubacar","Barry",1979-12-29 19:00:00,12,"GK","Goalkeeper","Boubacar Barry",34,1,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0
"457","Italy","Mediocampo","-MC-",186,77,"Alberto","Aquilani",1984-07-06 19:00:00,20,"M(C)","Midfielder (Center)","Alberto Aquilani",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"438","Italy","Defensa","-DC-DL-",186,76,"Giorgio","Chiellini",1984-08-13 19:00:00,1,"D(CL)","Defender (Center, Left)","Giorgio Chiellini",29,1,0,0,0,0,0,0,0,77,69,2,0,2,6,0,1,6,0,0,0,1,0,0,1,2,0,0,2,0,0,7,4,1,0
"5","Algeria","Mediocampo","-DL-ML-",179,75,"Djamel","Mesbah",1984-10-08 19:00:00,5,"D(L),M(L)","Defender (Left) / Midfielder (Left)","Djamel Mesbah",29,1,0,0,0,0,0,0,0,32,30,2,3,3,1,1,0,5,0,0,0,0,0,1,1,2,0,0,0,4,1,1,1,0,0
"101","Bosnia-Herzegovina","Delantero","-FW-",188,82,"Vedad","Ibisevic",1984-08-05 19:00:00,9,"FW","Forward","Vedad Ibisevic",29,0,1,0,0,0,0,0,0,7,4,2,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"592","Portugal","Defensa","-DC-DMC-",188,81,"Képler Laveran","Lima Ferreira",1983-02-25 19:00:00,17,"D(C),DM(C)","Defender (Center) / Defensive Midfielder (Center)","Pepe",31,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"581","Portugal","Defensa","-DC-",183,80,"Ricardo Miguel","Moreira da Costa",1981-05-15 19:00:00,6,"D(C)","Defender (Center)","Ricardo Costa",33,1,0,0,0,0,0,0,0,45,41,2,2,1,1,3,0,5,0,0,0,3,0,0,0,1,0,0,0,0,0,5,4,0,0
"585","Portugal","Mediocampo","-MC-ML-MR-",179,65,"Raul","Meireles",1983-03-16 19:00:00,10,"M(CLR)","Midfielder (Center, Left, Right)","Raul Meireles",31,1,0,1,0,0,0,0,0,37,33,0,1,1,0,0,0,1,2,2,1,0,0,2,0,0,0,1,2,1,0,1,1,0,0
"613","Russia","Arquero","-GK-",186,69,"Igor","Akinfeev",1986-04-07 18:00:00,15,"GK","Goalkeeper","Igor Akinfeev",28,1,0,0,0,0,0,0,0,13,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0
"600","Russia","Defensa","-DC-",189,83,"Vassili","Berezoutski",1982-06-19 19:00:00,2,"D(C)","Defender (Center)","Vassili Berezoutski",32,1,0,0,0,0,0,0,0,52,47,4,3,2,4,0,1,4,1,0,0,1,0,0,0,1,0,0,1,0,0,10,6,0,0
"80","Belgium","Defensa","-DC-",190,85,"Vincent","Kompany",1986-04-09 18:00:00,11,"D(C)","Defender (Center)","Vincent Kompany",28,1,0,0,0,0,0,0,0,44,37,2,0,1,1,1,0,5,0,0,0,0,0,1,0,0,0,0,4,0,0,12,9,0,0
"87","Belgium","Defensa","-DR-",185,78,"Anthony","Vanden Borre",1987-10-23 19:00:00,18,"D(R)","Defender (Right)","Anthony Vanden Borre",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","Belgium","Defensa","-DC-DL-",180,75,"Thomas","Vermaelen",1985-11-13 19:00:00,15,"D(CL)","Defender (Center, Left)","Thomas Vermaelen",28,1,0,1,0,0,0,0,0,15,14,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
"417","Iran","Mediocampo","-AMC-AML-AMR-FW-",181,77,"Ashkan","Dejagah",1986-07-04 19:00:00,3,"AM(CLR),FW","Attacking Midfielder (Center, Left, Right) / Forward","Ashkan Dejagah",27,1,0,1,0,0,0,0,0,14,9,4,1,5,-2,1,0,2,2,1,1,0,0,3,1,2,1,4,6,10,4,-1,-1,0,0
"666","Spain","Defensa","-DR-MR-",181,72,"Juan Francisco","Torres Belén",1985-01-08 19:00:00,22,"D(R),M(R)","Defender (Right) / Midfielder (Right)","Juanfran",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","Cameroon","Defensa","-DL-ML-",180,80,"Henri","Bedimo",1984-06-03 19:00:00,19,"D(L),M(L)","Defender (Left) / Midfielder (Left)","Henri Bedimo",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173","Chile","Mediocampo",NA,173,71,"Jorge","Valdívia",1983-10-18 19:00:00,12,"M","Midfielder","Jorge Valdívia",30,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"675","Switzerland","Defensa","-DC-",183,76,"Steve","Von Bergen",1983-06-09 19:00:00,8,"D(C)","Defender (Center)","Steve Von Bergen",31,1,0,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,1,0
"508","Mexico","Defensa","-DC-",191,84,"Francisco Javier","Rodríguez",1981-10-19 19:00:00,2,"D(C)","Defender (Center)","Francisco Javier Rodríguez",32,1,0,0,0,0,0,0,0,23,21,1,1,5,2,2,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
"154","Cameroon","Mediocampo","-DC-DMC-",185,74,"Alexandre","Song",1987-09-08 19:00:00,16,"D(C),DM(C)","Defender (Center) / Defensive Midfielder (Center)","Alexandre Song",26,1,0,0,0,0,1,0,0,22,18,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,1,1,0,1,1,0,0
"387","Greece","Defensa","-DC-DR-",184,76,"Loukas","Vyntra",1981-02-04 19:00:00,19,"D(CR)","Defender (Center, Right)","Loukas Vyntra",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"669","Switzerland","Arquero","-GK-",194,89,"Diego","Benaglio",1983-09-07 19:00:00,2,"GK","Goalkeeper","Diego Benaglio",30,1,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0
"687","Switzerland","Defensa","-DL-ML-",183,79,"Reto","Ziegler",1986-01-15 19:00:00,20,"D(L),M(L)","Defender (Left) / Midfielder (Left)","Reto Ziegler",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"351","Ghana","Delantero","-FW-",180,76,"Asamoah","Gyan",1985-11-21 19:00:00,6,"FW","Forward","Asamoah Gyan",28,1,0,0,0,0,0,1,0,22,15,3,4,0,0,2,0,1,0,3,1,0,0,0,1,1,2,2,3,2,0,1,1,2,0
"24","Argentina","Delantero","-AMR-FW-",169,67,"Lionel","Messi",1987-06-23 19:00:00,1,"AM(R),FW","Attacking Midfielder (Right) / Forward","Lionel Messi",26,1,0,0,0,0,0,1,0,42,39,0,0,0,0,0,0,0,0,6,1,0,0,3,7,1,0,2,1,3,2,5,4,0,0
"682","Switzerland","Defensa","-DC-",190,84,"Philippe","Senderos",1985-02-13 19:00:00,15,"D(C)","Defender (Center)","Philippe Senderos",29,0,1,0,0,0,0,0,0,64,57,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,9,5,0,0
"303","France","Defensa","-DR-",177,76,"Mathieu","Debuchy",1985-07-27 19:00:00,4,"D(R)","Defender (Right)","Mathieu Debuchy",28,1,0,0,0,0,0,0,0,31,18,4,1,5,4,3,0,1,2,0,0,1,0,0,0,0,1,1,0,1,0,3,0,0,0
"293","England","Arquero","-GK-",193,79,"Ben","Foster",1983-04-02 18:00:00,17,"GK","Goalkeeper","Ben Foster",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"382","Greece","Delantero","-AMR-",171,72,"Dimitrios","Salpingidis",1981-08-17 19:00:00,14,"AM(R)","Attacking Midfielder (Right)","Dimitrios Salpingidis",32,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"139","Cameroon","Defensa","-DL-",178,69,"Benoit","Assou-Ekotto",1984-03-23 19:00:00,1,"D(L)","Defender (Left)","Benoit Assou-Ekotto",30,1,0,0,0,0,0,0,0,27,21,0,1,0,4,1,0,5,0,0,0,1,0,3,1,0,0,0,0,5,2,1,1,0,0
"379","Greece","Delantero","-FW-",179,76,"Theofanis","Gekas",1980-05-22 19:00:00,11,"FW","Forward","Theofanis Gekas",34,0,1,0,0,0,0,0,0,9,7,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,3,0,0,0,0,1,0,0,0
"371","Greece","Arquero","-GK-",189,79,"Orestis","Karnezis",1985-07-10 19:00:00,3,"GK","Goalkeeper","Orestis Karnezis",28,1,0,0,0,0,0,0,0,15,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,13,6,0,0
"589","Portugal","Delantero","-FW-",191,93,"Hugo Miguel","Pereira de Almeida",1984-05-22 19:00:00,14,"FW","Forward","Hugo Almeida",30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"678","Switzerland","Defensa","-DC-DR-",191,87,"Johan","Djourou",1987-01-17 19:00:00,11,"D(CR)","Defender (Center, Right)","Johan Djourou",27,1,0,0,0,0,0,0,0,53,50,0,2,0,1,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,10,9,0,0
"152","Cameroon","Arquero",NA,193,90,"Charles","Itandje",1982-11-01 19:00:00,14,"GK","Goalkeeper","Charles Itandje",31,1,0,0,0,0,0,0,0,14,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0
"362","Ghana","Mediocampo","-FW-MC-MR-",186,86,"Kevin-Prince","Boateng",1987-03-05 19:00:00,17,"M(CR),FW","Midfielder (Center, Right) / Forward","Kevin-Prince Boateng",27,1,0,1,0,0,0,0,0,19,13,1,3,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
"279","England","Defensa","-DC-",193,86,"Gary","Cahill",1985-12-18 19:00:00,3,"D(C)","Defender (Center)","Gary Cahill",28,1,0,0,0,0,0,0,0,41,37,5,0,2,1,1,2,16,0,0,0,0,0,1,1,3,0,0,0,0,0,7,5,0,0
"83","Belgium","Mediocampo","-FW-MC-MR-",185,82,"Mousa","Dembélé",1987-07-15 19:00:00,14,"M(CR),FW","Midfielder (Center, Right) / Forward","Mousa Dembélé",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"308","France","Mediocampo","-MC-",175,71,"Yohan","Cabaye",1986-01-13 19:00:00,9,"M(C)","Midfielder (Center)","Yohan Cabaye",28,1,0,0,1,0,0,0,0,39,32,1,0,4,1,2,0,0,1,2,0,0,0,1,0,3,0,1,1,1,0,3,2,1,1
"166","Chile","Mediocampo","-DL-ML-",178,84,"Jean","Beausejour",1984-05-31 19:00:00,5,"D(L),M(L)","Defender (Left) / Midfielder (Left)","Jean Beausejour",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"680","Switzerland","Mediocampo","-DMC-MR-",184,76,"Valon","Behrami",1985-04-18 18:00:00,13,"DM(C),M(R)","Defensive Midfielder (Center) / Midfielder (Right)","Valon Behrami",29,1,0,1,0,0,0,0,0,18,14,0,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,0,0
"454","Italy","Delantero","-AMR-FW-",180,78,"Alessio","Cerci",1987-07-22 19:00:00,17,"AM(R),FW","Attacking Midfielder (Right) / Forward","Alessio Cerci",26,0,1,0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,2,3,1,0,0,0,0
"667","Spain","Defensa","-DC-",190,80,"Raúl","Albiol",1985-09-03 19:00:00,23,"D(C)","Defender (Center)","Raúl Albiol",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"658","Spain","Defensa","-DC-",192,85,"Gerard","Piqué",1987-02-01 19:00:00,14,"D(C)","Defender (Center)","Gerard Piqué",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"490","Japan","Delantero",NA,170,61,"Yoshito","Okubo",1982-06-08 19:00:00,7,"FW","Forward","Yoshito Okubo",32,1,0,0,0,0,0,0,0,28,25,2,0,1,0,4,0,0,0,5,1,0,0,3,4,5,0,0,3,0,0,1,1,0,0
"52","Australia","Mediocampo","-DMC-",189,81,"Mile","Jedinak",1984-08-02 19:00:00,6,"DM(C)","Defensive Midfielder (Center)","Mile Jedinak",29,1,0,0,0,0,0,1,0,50,37,3,1,1,3,0,0,0,0,2,1,2,0,0,0,0,0,1,-1,0,0,7,2,0,0
"65","Australia","Mediocampo",NA,184,74,"Dario","Vidosic",1987-04-07 19:00:00,19,"M","Midfielder","Dario Vidosic",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"328","Germany","Arquero","-GK-",193,92,"Manuel","Neuer",1986-03-26 19:00:00,6,"GK","Goalkeeper","Manuel Neuer",28,1,0,0,0,0,0,0,0,17,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0
"330","Germany","Mediocampo","-AMC-AML-AMR-",183,76,"Mesut","Özil",1988-10-14 19:00:00,8,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Mesut Özil",25,1,0,0,0,0,0,0,0,56,46,0,0,0,0,0,0,0,1,0,0,0,0,4,2,1,0,4,2,2,1,-1,0,1,1
"333","Germany","Mediocampo","-DMC-",189,85,"Sami","Khedira",1987-04-03 18:00:00,11,"DM(C)","Defensive Midfielder (Center)","Sami Khedira",27,1,0,1,0,0,0,0,0,54,43,1,1,0,2,3,0,0,1,1,1,0,0,0,0,2,0,1,0,0,0,3,1,0,0
"9","Algeria","Defensa","-DC-",190,89,"Madjid","Bougherra",1982-10-06 19:00:00,9,"D(C)","Defender (Center)","Madjid Bougherra",31,1,0,1,1,0,0,0,0,40,33,2,5,4,2,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0
"217","Costa Rica","Delantero","-AMC-AMR-",188,78,"Bryan","Ruiz",1985-08-17 19:00:00,10,"AM(CR)","Attacking Midfielder (Center, Right)","Bryan Ruiz",28,1,0,1,0,0,0,1,0,39,34,0,0,0,0,5,0,0,1,2,2,0,0,2,0,0,0,1,0,1,1,1,1,0,0
"463","Ivory Coast","Mediocampo","-MC-",189,90,"Gnegneri Yaya","Touré",1983-05-12 19:00:00,3,"M(C)","Midfielder (Center)","Yaya Touré",31,1,0,0,0,0,0,0,0,57,45,0,1,1,1,1,0,1,0,3,0,0,0,2,5,1,0,2,0,4,0,3,1,0,0
"190","Colombia","Defensa","-DC-DR-",186,78,"Cristian","Zapata",1986-09-29 19:00:00,6,"D(CR)","Defender (Center, Right)","Cristian Zapata",27,1,0,0,0,0,0,0,0,27,23,2,0,4,1,1,1,8,0,0,0,3,0,0,0,1,0,0,0,0,0,6,3,0,0
"195","Colombia","Mediocampo","-MC-",185,82,"Abel","Aguilar",1985-01-05 19:00:00,11,"M(C)","Midfielder (Center)","Abel Aguilar",29,1,0,1,0,0,0,0,0,39,32,3,0,1,1,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
"27","Argentina","Defensa","-DC-",185,80,"Ezequiel","Garay",1986-10-09 19:00:00,4,"D(C)","Defender (Center)","Ezequiel Garay",27,1,0,0,0,0,0,0,0,39,37,4,0,1,1,0,0,7,0,3,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0
"650","Spain","Mediocampo","-DC-MC-",190,81,"Javier","Martínez Aguinaga",1988-09-01 19:00:00,6,"D(C),M(C)","Defender (Center) / Midfielder (Center)","Javi Martínez",25,1,0,0,0,0,0,0,0,50,43,3,1,1,2,1,0,6,2,0,0,0,0,0,0,1,0,1,0,0,0,8,4,0,0
"648","Spain","Mediocampo","-AMC-AML-AMR-",170,67,"David","Silva",1986-01-07 19:00:00,4,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","David Silva",28,1,0,0,0,0,0,0,0,72,57,5,2,1,2,0,0,0,0,0,0,0,0,5,0,1,0,1,3,1,0,1,1,5,2
"538","Netherlands","Defensa","-DC-",189,80,"Ron","Vlaar",1985-02-15 19:00:00,9,"D(C)","Defender (Center)","Ron Vlaar",29,1,0,0,0,0,0,0,0,42,36,5,0,2,0,0,1,10,0,1,0,1,0,0,0,1,0,0,0,0,0,17,13,0,0
"123","Brazil","Arquero","-GK-",186,80,"Julio Cesar","Soares De Espindola",1979-09-02 19:00:00,8,"GK","Goalkeeper","Julio César",34,1,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
"163","Chile","Arquero","-GK-",185,81,"Claudio","Bravo",1983-04-12 18:00:00,2,"GK","Goalkeeper","Claudio Bravo",31,1,0,0,0,0,0,0,0,32,11,2,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,26,6,0,0
"418","Iran","Mediocampo","-DMC-",186,78,"Javad","Nekounam",1980-09-06 19:00:00,4,"DM(C)","Defensive Midfielder (Center)","Javad Nekounam",33,1,0,0,1,0,0,0,0,24,15,1,2,1,1,2,0,3,6,0,0,0,0,1,1,0,0,0,0,0,0,4,-1,0,0
"33","Argentina","Defensa","-DL-DR-",174,74,"Pablo","Zabaleta",1985-01-15 19:00:00,10,"D(LR)","Defender (Left, Right)","Pablo Zabaleta",29,1,0,0,0,0,0,0,0,46,43,0,4,2,0,3,1,2,2,1,0,1,0,0,0,0,0,2,0,3,0,1,0,0,0
"36","Argentina","Delantero","-AMC-AML-FW-",173,70,"Sergio","Agüero",1988-06-01 19:00:00,13,"AM(CL),FW","Attacking Midfielder (Center, Left) / Forward","Sergio Agüero",26,1,0,1,0,0,0,0,0,18,15,1,0,1,0,0,0,1,0,2,1,0,0,1,0,0,0,3,1,3,0,0,0,0,0
"300","France","Delantero","-AML-AMR-FW-",187,79,"Karim","Benzema",1987-12-18 19:00:00,1,"AM(LR),FW","Attacking Midfielder (Left, Right) / Forward","Karim Benzema",26,1,0,0,0,0,0,1,2,24,25,-1,2,1,1,0,0,0,0,8,5,0,0,7,0,3,1,1,1,0,0,2,2,3,3
"590","Portugal","Defensa","-DR-",172,64,"João Pedro","da Silva Pereira",1984-02-24 19:00:00,15,"D(R)","Defender (Right)","João Pereira",30,1,0,0,0,0,0,0,0,48,43,1,3,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
"102","Bosnia-Herzegovina","Defensa","-DL-DR-",185,77,"Mensur","Mujdza",1984-03-27 18:00:00,10,"D(LR)","Defender (Left, Right)","Mensur Mujdza",30,1,0,0,0,0,0,0,0,25,21,3,1,0,1,2,1,7,0,0,0,0,0,2,1,2,0,1,0,7,1,0,0,0,0
"10","Algeria","Defensa","-DC-DMC-",184,78,"Carl","Medjani",1985-05-14 19:00:00,10,"D(C),DM(C)","Defender (Center) / Defensive Midfielder (Center)","Carl Medjani",29,1,0,0,0,0,0,0,1,24,18,3,7,3,2,4,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,3,1,0,0
"670","Switzerland","Mediocampo","-MC-",179,73,"Blerim","Dzemaili",1986-04-11 18:00:00,3,"M(C)","Midfielder (Center)","Blerim Dzemaili",28,0,1,0,0,0,0,1,0,45,38,0,1,0,0,3,0,1,1,2,1,0,0,3,0,1,0,1,1,0,0,6,2,0,0
"39","Argentina","Delantero","-AMC-AML-AMR-FW-",175,66,"Rodrigo","Palacio",1982-02-04 19:00:00,16,"AM(CLR),FW","Attacking Midfielder (Center, Left, Right) / Forward","Rodrigo Palacio",32,0,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"676","Switzerland","Defensa","-DR-MR-",180,77,"Stephan","Lichtsteiner",1984-01-15 19:00:00,9,"D(R),M(R)","Defender (Right) / Midfielder (Right)","Stephan Lichtsteiner",30,1,0,0,0,0,0,0,0,46,38,2,0,2,1,1,0,1,1,0,0,0,0,1,0,2,0,0,1,2,1,0,0,0,0
"672","Switzerland","Mediocampo","-MC-",183,79,"Gökhan","Inler",1984-06-26 19:00:00,5,"M(C)","Midfielder (Center)","Gökhan Inler",29,1,0,0,0,0,0,0,1,66,57,1,1,2,0,1,0,1,0,2,0,0,0,3,1,3,0,1,2,1,0,7,4,1,1
"124","Brazil","Delantero","-FW-",185,75,"Frederico","Chaves Guedes",1983-10-02 19:00:00,9,"FW","Forward","Fred",30,1,0,1,0,0,0,0,0,16,8,1,2,0,0,0,0,0,0,2,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0
"557","Nigeria","Mediocampo","-DMC-",188,83,"John Obi","Mikel",1987-04-21 19:00:00,5,"DM(C)","Defensive Midfielder (Center)","John Obi Mikel",27,1,0,0,1,0,0,0,0,54,46,1,1,4,2,1,0,3,2,1,0,0,0,2,3,0,0,1,0,1,0,3,3,0,0
"79","Belgium","Mediocampo","-AMC-AML-AMR-",179,68,"Kevin","Mirallas",1987-10-04 19:00:00,10,"AM(CLR)","Attacking Midfielder (Center, Left, Right)","Kevin Mirallas",26,0,1,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,1,3,0,0,0,0,0,0
"497","Japan","Mediocampo",NA,178,70,"Yasuhito","Endo",1980-01-27 19:00:00,14,"M","Midfielder","Yasuhito Endo",34,0,1,0,0,0,0,0,0,53,50,-1,1,2,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,2,0,2,1,0,0
"582","Portugal","Mediocampo","-MC-",170,61,"João","Moutinho",1986-09-07 19:00:00,7,"M(C)","Midfielder (Center)","João Moutinho",27,1,0,0,0,0,0,0,0,83,76,0,1,1,1,1,0,1,3,1,0,1,0,5,0,2,0,0,0,4,1,10,10,2,0
"550","Netherlands","Defensa","-DR-",178,72,"Paul","Verhaegh",1983-08-31 19:00:00,21,"D(R)","Defender (Right)","Paul Verhaegh",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"716","USA","Mediocampo","-AMC-AML-AMR-FW-",186,78,"Clint","Dempsey",1983-03-08 19:00:00,3,"AM(CLR),FW","Attacking Midfielder (Center, Left, Right) / Forward","Clint Dempsey",31,1,0,1,0,0,0,1,0,28,27,1,2,1,1,2,0,0,0,5,2,0,0,2,2,2,0,0,2,1,0,1,1,0,0
"129","Brazil","Delantero","-FW-",191,78,"João Alves","de Assis Silva",1987-03-19 19:00:00,14,"FW","Forward","Jô",27,0,1,0,0,0,0,0,0,7,4,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"520","Mexico","Defensa","-DL-",176,72,"Carlos","Salcido",1980-04-01 18:00:00,14,"D(L)","Defender (Left)","Carlos Salcido",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Argentina","Delantero","-AMC-AML-AMR-FW-",173,75,"Ezequiel","Lavezzi",1985-05-02 19:00:00,9,"AM(CLR),FW","Attacking Midfielder (Center, Left, Right) / Forward","Ezequiel Lavezzi",29,0,1,0,0,0,0,0,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,1,5,1,0,0,0,0
